trt,trt_mean,std,r,se,Min,Max,Q25,Q50,Q75,FQS_mean,stat_grp,practice_subset,practice,production_type,product_name,FQS,max_value,product_FQS,stat_grp_conv,conv_mean,stat_grp_conv_diff,mean_conv_diff,pval_tukey
Beurre de Charentes-Poitou,75.682548081249,30.7439632920945,59,3.47724209663073,33.2553473694521,166.182146667547,48.5800364343389,72.2669281879043,96.2218863636397,75.682548081249,a,feed,feed_A.2.1,milk,Lait,Beurre de Charentes-Poitou,219.115611994887,Lait - Beurre de Charentes-Poitou,b,64.9498796238554,TRUE,16.5245394133903,0.0452
Bleu d'Auvergne - Cantal,55.9400823656377,18.5465990800307,54,3.6346622017282,22.3043562881991,111.971979256737,43.0353762451395,55.1745752297498,62.8089489190842,55.9400823656377,bc,feed,feed_A.2.1,milk,Lait,Bleu d'Auvergne - Cantal,219.115611994887,Lait - Bleu d'Auvergne - Cantal,b,64.9498796238554,FALSE,-13.8719229510451,0.1967
Comte - Morbier,59.7602970126532,19.1359681430395,64,3.33865041810561,29.5812884024985,140.663837071532,48.074924312475,57.177083987779,67.4790739509697,59.7602970126532,bc,feed,feed_A.2.1,milk,Lait,Comte - Morbier,219.115611994887,Lait - Comte - Morbier,b,64.9498796238554,FALSE,-7.99013430241401,0.7444
Conventionnel,64.9498796238554,26.5298071052055,882,0.899345657391916,13.5389381412209,219.115611994887,46.6165046259043,57.4876880217525,76.5059797641839,64.9498796238554,b,feed,feed_A.2.1,milk,Lait,Conventionnel,219.115611994887,Lait - Conventionnel,b,64.9498796238554,FALSE,0,NA
Fromages de Savoie,51.1583358098465,10.1793135833683,33,4.64947551071468,30.9098674456666,76.1782347523235,43.2704186960617,50.7543468623664,56.9360952704556,51.1583358098465,bc,feed,feed_A.2.1,milk,Lait,Fromages de Savoie,219.115611994887,Lait - Fromages de Savoie,b,64.9498796238554,FALSE,-21.2341329866659,0.0562
Munster,44.998207252699,11.6600563413677,38,4.33280492387125,29.362926869776,76.6340533377348,35.4536063247479,43.208221041308,51.843299064869,44.998207252699,c,feed,feed_A.2.1,milk,Lait,Munster,219.115611994887,Lait - Munster,b,64.9498796238554,TRUE,-30.7185671269949,1e-04
AB,2.97357032770679,0.695153483378746,88,0.0516907713743726,1.56561387751752,5.83421861582729,2.59086995894789,3.02285120042358,3.29760773242446,2.97357032770679,bc,feed,feed_A.2.2,milk,Lait,AB,5.85659171201111,Lait - AB,abc,3.06539272529931,FALSE,-2.99545297523161,0.6203
Beurre de Charentes-Poitou,3.24144200426069,0.430967225629067,59,0.0631289176511364,2.27698870649419,4.38744517622525,3.00413864141497,3.20038617375302,3.48132398564827,3.24144200426069,a,feed,feed_A.2.2,milk,Lait,Beurre de Charentes-Poitou,5.85659171201111,Lait - Beurre de Charentes-Poitou,abc,3.06539272529931,FALSE,5.74312314074524,0.0991
Bleu d'Auvergne - Cantal,2.88947683240942,0.405306579604805,54,0.0659868609795462,1.87747841442908,4.56207298448945,2.65416239260674,2.93150848972107,3.0812428017194,2.88947683240942,bc,feed,feed_A.2.2,milk,Lait,Bleu d'Auvergne - Cantal,5.85659171201111,Lait - Bleu d'Auvergne - Cantal,abc,3.06539272529931,FALSE,-5.73877178731518,0.1305
Comte - Morbier,3.07060350827987,0.247188082977723,64,0.0606128021729468,2.18543635347596,3.93615788868527,2.91355943735376,3.10357055097067,3.18826276733101,3.07060350827987,abc,feed,feed_A.2.2,milk,Lait,Comte - Morbier,5.85659171201111,Lait - Comte - Morbier,abc,3.06539272529931,FALSE,0.169987451772761,1
