production_type,product_name,FQS,match,n,BVI_ha,BVI_kg,statistique,A.3.1_max,A.4.5_max,A.4.5_min_max,A.4.5_org_max,A.5.1_max,yield,cow_pMFA,feed_autonomy,grassland_share_pseudofarm,ha_temp_pasture_pha_pseudofarm,kg_DM_panim_maize_produced,MFA_pcow,MFA_pha_pseudofarm,nb_cow_pha,share_concent,share_soybean,yield_l_panim,yield_l_pha,feed_A.3.1_max,feed_A.4.5_max,feed_A.4.5_min_max,feed_A.4.5_org_max,feed_A.5.1_max,feed_yield
crop,Maïs grain,AB,Maïs grain__AB,33,0.0407325994297885,1.77345487274287e-05,sd,46.681402738975,266.512243564578,0,275.021246524958,8.09600864016637,2335.35249518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.0707480899024121,1.01959086571257e-05,q0,0,127.4426878009,0,127.4426878009,0,1481.67539267016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.1163021261425,2.44573448340697e-05,q25,24.8037117538873,127.4426878009,0,127.4426878009,0,2666.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.13062724368454,3.0552336888968e-05,q50,55.4041289788027,449.268087798556,0,449.268087798556,0,4263.86233269598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.164196372621919,4.98105124077154e-05,q75,84.2273948075201,759.640919231174,0,783.536932574232,1.71586345356603,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.247520443629366,8.02727689832933e-05,q100,216.984643179765,759.640919231174,0,783.536932574232,34.0618746930709,9693.84662018793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.247520443629366,8.02727689832933e-05,max,216.984643179765,759.640919231174,0,783.536932574232,34.0618746930709,9693.84662018793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.231304761024025,3.73983106671807e-05,mean,64.610066990597,316.069327987417,154.841009970588,159.488017808464,83.1019178841882,7482.11388081757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.0821596889821994,2.61380759568388e-05,sd,63.4612294935693,170.653405064374,67.1083291021365,174.571974300111,39.7643944137251,3101.86660329844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.117726236817759,1.22052694816508e-05,q0,0,83.1412989987008,0,58.9784452423833,6.6299765897317,1725.3766851705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.170246886972567,2.18110585313976e-05,q25,15.8572646978733,208.137358449501,107.035417657256,61.0824823782276,58.895930647494,4875.98866442455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.211087744276461,3.25087497043161e-05,q50,51.3390838786437,266.849955583857,158.361290372936,61.0824823782276,82.3050463797858,7300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.278843387366339,4.49658241171815e-05,q75,88.0506434205064,404.997442779585,207.958223517453,205.969332915829,105.978686254488,9608.63742268425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.431413636339902,0.00022604829005812,q100,246.166070798635,759.640919231174,269.352906450692,783.536932574232,203.94632266323,13241.372735939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,Conventionnel,Maïs grain__AB,99,0.431413636339902,0.00022604829005812,max,246.166070798635,759.640919231174,269.352906450692,783.536932574232,203.94632266323,13241.372735939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.0993926813162311,3.79735273507713e-05,mean,31.0136386779847,239.286288400657,0,240.451947588124,0.923088491577233,3118.50923486428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.0273583806786611,2.03789733462046e-05,sd,43.9664683154928,161.213843435039,0,165.107545792286,2.21894276500483,1215.85196567072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.058102896153298,1.28947448901219e-05,q0,0,44.8944915582142,0,44.8944915582142,0,1058.68118572293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.0817980687093283,2.46037942788418e-05,q25,0.00525279054497219,161.465452982324,0,161.465452982324,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.0910183227921781,3.03804102923881e-05,q50,19.4960767218832,201.918501745568,0,201.918501745568,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.117406329115246,4.57211419427672e-05,q75,42.2352042764414,258.080161412775,0,258.080161412775,0.658855629518684,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.192134356780873,0.00010292103234029,q100,246.166070798635,759.640919231174,0,783.536932574232,11.3433724408451,5322.58064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,AB,Mélange céréales d'été__AB,41,0.192134356780873,0.00010292103234029,max,246.166070798635,759.640919231174,0,783.536932574232,11.3433724408451,5322.58064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,Conventionnel,Mélange céréales d'été__AB,81,0.157560969759608,4.4159195740663e-05,mean,40.2301682486128,203.682590833489,107.910033050002,94.8592150411492,43.2157206226994,4068.59202533112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,Conventionnel,Mélange céréales d'été__AB,81,0.0631111280631602,2.88886348117232e-05,sd,40.8609479331077,92.0628536434842,68.2979264058989,66.585166301628,44.3496362959123,1272.10119571662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,Conventionnel,Mélange céréales d'été__AB,81,0.0586574720086283,1.30172647345412e-05,q0,0,55.3334957375705,0,18.5900110404375,0,988.593155893536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mélange céréales d'été,Conventionnel,Mélange céréales d'été__AB,81,0.118332201113112,2.87267344420913e-05,q25,5.95479374646825,139.71861165325,61.6428762442226,57.2725825499009,11.2120976513272,3038.67403314917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
